epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,180.585,1.79932,0.79277,0.84546,0.80441,0.63333,0.65324,0.31185,2.27459,1.31013,0.85104,0.0002774,0.0002774,0.0002774
89,182.458,1.93379,0.77661,0.85659,0.82526,0.62983,0.64822,0.29513,2.31137,1.30959,0.85403,0.0002576,0.0002576,0.0002576
90,184.337,1.89171,0.85209,0.83768,0.82559,0.63125,0.64242,0.2721,2.35847,1.28032,0.85626,0.0002378,0.0002378,0.0002378
91,187.681,1.69152,0.6875,0.82002,0.81948,0.63333,0.64348,0.26232,2.35427,1.27026,0.85557,0.000218,0.000218,0.000218
92,190.098,1.76316,0.78325,0.78432,0.81362,0.63333,0.61884,0.25895,2.32536,1.25275,0.85091,0.0001982,0.0001982,0.0001982
93,192.842,1.86563,0.82352,0.85356,0.82485,0.62813,0.61757,0.26227,2.27799,1.24513,0.84897,0.0001784,0.0001784,0.0001784
94,194.759,1.60376,0.68911,0.79603,0.82438,0.62613,0.61535,0.26545,2.27215,1.24264,0.84718,0.0001586,0.0001586,0.0001586
95,196.584,1.689,0.70778,0.77746,0.7849,0.6,0.61475,0.2561,2.26605,1.24587,0.84602,0.0001388,0.0001388,0.0001388
96,198.453,1.60836,0.66089,0.88621,0.78546,0.61049,0.61215,0.26538,2.23822,1.2575,0.84266,0.000119,0.000119,0.000119
97,200.233,1.80082,1.01859,0.82416,0.79145,0.63253,0.61574,0.27094,2.27125,1.26405,0.84079,9.92e-05,9.92e-05,9.92e-05
98,202.338,1.67917,0.62656,0.86027,0.78923,0.62438,0.61016,0.26898,2.26453,1.26782,0.84129,7.94e-05,7.94e-05,7.94e-05
99,204.556,1.68187,0.73321,0.86017,0.78866,0.62228,0.60949,0.26892,2.28814,1.28304,0.84241,5.96e-05,5.96e-05,5.96e-05
100,207.247,1.73333,0.78236,0.82394,0.75927,0.6309,0.60312,0.25875,2.32906,1.27474,0.84453,3.98e-05,3.98e-05,3.98e-05
